16:23:02.045 [restartedMain] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.5.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Microsoft/17.0.15+6-LTS"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='yk3846568', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@2e06641e, com.mongodb.Jep395RecordCodecProvider@666db21b, com.mongodb.KotlinCodecProvider@45403c04]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.gqqqwzj.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-m5ab0s-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
16:23:02.070 [restartedMain] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 73. Remaining time: 29999 ms. Selector: WritableServerSelector, topology description: {type=UNKNOWN, servers=[].
16:23:02.236 [cluster-ClusterId{value='68ca930e6913703e42dc406c', description='null'}-srv-cluster0.gqqqwzj.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-gemoksu-shard-00-00.gqqqwzj.mongodb.net:27017 to client view of cluster
16:23:02.238 [cluster-ClusterId{value='68ca930e6913703e42dc406c', description='null'}-srv-cluster0.gqqqwzj.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-gemoksu-shard-00-01.gqqqwzj.mongodb.net:27017 to client view of cluster
16:23:02.239 [cluster-ClusterId{value='68ca930e6913703e42dc406c', description='null'}-srv-cluster0.gqqqwzj.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-gemoksu-shard-00-02.gqqqwzj.mongodb.net:27017 to client view of cluster
16:23:02.555 [cluster-ClusterId{value='68ca930e6913703e42dc406c', description='null'}-ac-gemoksu-shard-00-02.gqqqwzj.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-gemoksu-shard-00-02.gqqqwzj.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=84795900, minRoundTripTimeNanos=0, setName='atlas-m5ab0s-shard-0', canonicalAddress=ac-gemoksu-shard-00-02.gqqqwzj.mongodb.net:27017, hosts=[ac-gemoksu-shard-00-00.gqqqwzj.mongodb.net:27017, ac-gemoksu-shard-00-01.gqqqwzj.mongodb.net:27017, ac-gemoksu-shard-00-02.gqqqwzj.mongodb.net:27017], passives=[], arbiters=[], primary='ac-gemoksu-shard-00-01.gqqqwzj.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=67, topologyVersion=TopologyVersion{processId=68ca8ff5208b13be0b379d41, counter=3}, lastWriteDate=Wed Sep 17 16:23:13 IST 2025, lastUpdateTimeNanos=26683408970600}
16:23:02.605 [cluster-ClusterId{value='68ca930e6913703e42dc406c', description='null'}-ac-gemoksu-shard-00-00.gqqqwzj.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-gemoksu-shard-00-00.gqqqwzj.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=108462400, minRoundTripTimeNanos=0, setName='atlas-m5ab0s-shard-0', canonicalAddress=ac-gemoksu-shard-00-00.gqqqwzj.mongodb.net:27017, hosts=[ac-gemoksu-shard-00-00.gqqqwzj.mongodb.net:27017, ac-gemoksu-shard-00-01.gqqqwzj.mongodb.net:27017, ac-gemoksu-shard-00-02.gqqqwzj.mongodb.net:27017], passives=[], arbiters=[], primary='ac-gemoksu-shard-00-01.gqqqwzj.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=67, topologyVersion=TopologyVersion{processId=68ca8eb47b64a5cea62490e6, counter=4}, lastWriteDate=Wed Sep 17 16:23:13 IST 2025, lastUpdateTimeNanos=26683459254200}
16:23:02.628 [cluster-ClusterId{value='68ca930e6913703e42dc406c', description='null'}-ac-gemoksu-shard-00-01.gqqqwzj.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-gemoksu-shard-00-01.gqqqwzj.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=121252200, minRoundTripTimeNanos=0, setName='atlas-m5ab0s-shard-0', canonicalAddress=ac-gemoksu-shard-00-01.gqqqwzj.mongodb.net:27017, hosts=[ac-gemoksu-shard-00-00.gqqqwzj.mongodb.net:27017, ac-gemoksu-shard-00-01.gqqqwzj.mongodb.net:27017, ac-gemoksu-shard-00-02.gqqqwzj.mongodb.net:27017], passives=[], arbiters=[], primary='ac-gemoksu-shard-00-01.gqqqwzj.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff00000000000000a5, setVersion=67, topologyVersion=TopologyVersion{processId=68ca8d98c94b2dc301b7b75e, counter=6}, lastWriteDate=Wed Sep 17 16:23:13 IST 2025, lastUpdateTimeNanos=26683482263200}
16:23:02.628 [cluster-ClusterId{value='68ca930e6913703e42dc406c', description='null'}-ac-gemoksu-shard-00-01.gqqqwzj.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-gemoksu-shard-00-01.gqqqwzj.mongodb.net:27017 with max election id 7fffffff00000000000000a5 and max set version 67
16:23:02.965 [restartedMain] DEBUG com.example.demo.filter.jwtFilter - Filter 'jwtFilter' configured for use
16:23:02.969 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
