17:32:00.113 [cluster-ClusterId{value='68caa3376913703e42dc4133', description='null'}-ac-gemoksu-shard-00-02.gqqqwzj.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-gemoksu-shard-00-02.gqqqwzj.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=95572100, minRoundTripTimeNanos=0, setName='atlas-m5ab0s-shard-0', canonicalAddress=ac-gemoksu-shard-00-02.gqqqwzj.mongodb.net:27017, hosts=[ac-gemoksu-shard-00-00.gqqqwzj.mongodb.net:27017, ac-gemoksu-shard-00-01.gqqqwzj.mongodb.net:27017, ac-gemoksu-shard-00-02.gqqqwzj.mongodb.net:27017], passives=[], arbiters=[], primary='ac-gemoksu-shard-00-01.gqqqwzj.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=67, topologyVersion=TopologyVersion{processId=68ca8ff5208b13be0b379d41, counter=3}, lastWriteDate=Wed Sep 17 17:32:10 IST 2025, lastUpdateTimeNanos=30820967688400}
17:32:00.115 [cluster-ClusterId{value='68caa3376913703e42dc4133', description='null'}-ac-gemoksu-shard-00-01.gqqqwzj.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-gemoksu-shard-00-01.gqqqwzj.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=97417000, minRoundTripTimeNanos=0, setName='atlas-m5ab0s-shard-0', canonicalAddress=ac-gemoksu-shard-00-01.gqqqwzj.mongodb.net:27017, hosts=[ac-gemoksu-shard-00-00.gqqqwzj.mongodb.net:27017, ac-gemoksu-shard-00-01.gqqqwzj.mongodb.net:27017, ac-gemoksu-shard-00-02.gqqqwzj.mongodb.net:27017], passives=[], arbiters=[], primary='ac-gemoksu-shard-00-01.gqqqwzj.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff00000000000000a5, setVersion=67, topologyVersion=TopologyVersion{processId=68ca8d98c94b2dc301b7b75e, counter=6}, lastWriteDate=Wed Sep 17 17:32:10 IST 2025, lastUpdateTimeNanos=30820969533900}
17:32:00.115 [cluster-ClusterId{value='68caa3376913703e42dc4133', description='null'}-ac-gemoksu-shard-00-01.gqqqwzj.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-gemoksu-shard-00-01.gqqqwzj.mongodb.net:27017 with max election id 7fffffff00000000000000a5 and max set version 67
17:32:00.120 [cluster-ClusterId{value='68caa3376913703e42dc4133', description='null'}-ac-gemoksu-shard-00-00.gqqqwzj.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-gemoksu-shard-00-00.gqqqwzj.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=102920600, minRoundTripTimeNanos=0, setName='atlas-m5ab0s-shard-0', canonicalAddress=ac-gemoksu-shard-00-00.gqqqwzj.mongodb.net:27017, hosts=[ac-gemoksu-shard-00-00.gqqqwzj.mongodb.net:27017, ac-gemoksu-shard-00-01.gqqqwzj.mongodb.net:27017, ac-gemoksu-shard-00-02.gqqqwzj.mongodb.net:27017], passives=[], arbiters=[], primary='ac-gemoksu-shard-00-01.gqqqwzj.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=67, topologyVersion=TopologyVersion{processId=68ca8eb47b64a5cea62490e6, counter=4}, lastWriteDate=Wed Sep 17 17:32:10 IST 2025, lastUpdateTimeNanos=30820975036700}
17:32:00.501 [restartedMain] DEBUG com.example.demo.filter.jwtFilter - Filter 'jwtFilter' configured for use
17:32:00.504 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
17:32:00.526 [restartedMain] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name userDetailServiceImp
17:32:00.605 [restartedMain] INFO  o.s.v.b.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Bean Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
17:32:00.642 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
17:32:00.645 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
17:32:00.649 [restartedMain] INFO  com.example.demo.DemoApplication - Started DemoApplication in 0.956 seconds (process running for 4246.57)
17:32:00.650 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
